5x5
Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
0, Madusa, doubleDealing, Elvera, Madusa, greedy, doubleDealing, 20, 20, 20, 20, 20
0, Sammy, shortestChain, Sammy, Rudolph, shortestChain, greedy, 20, 19, 20, 20, 21
0, Julian, heuristic, Julian, Ben, heuristic, doubleDealing, 20, 18, 20, 21, 21
0, Lynn, heuristic, Lynn, Lashaun, heuristic, greedy, 20, 18, 21, 21, 20
0, Cupid, shortestChain, Cupid, Eugene, shortestChain, shortestChain, 20, 17, 22, 21, 20
0, Stacey, doubleDealing, Stacey, Melissa, doubleDealing, heuristic, 20, 17, 22, 21, 20
0, Magaly, shortestChain, Magaly, Kermit, shortestChain, greedy, 20, 17, 21, 21, 21
0, Doloris, shortestChain, Laurence, Doloris, random, shortestChain, 20, 16, 21, 22, 21
0, Ernie, greedy, Ellyn, Ernie, random, greedy, 19, 16, 21, 23, 21
0, Sachiko, greedy, Creola, Sachiko, random, greedy, 18, 17, 21, 23, 21
0, Cherelle, doubleDealing, Cherelle, Elva, doubleDealing, shortestChain, 17, 18, 21, 23, 21
0, None, None, Roselia, Haley, doubleDealing, heuristic, 17, 18, 21, 22, 22
0, Delsie, heuristic, Fallon, Delsie, random, heuristic, 17, 18, 21, 22, 22
0, Mitzie, random, Mitzie, Carson, random, random, 16, 18, 22, 22, 22
0, Audria, greedy, Audria, Lasandra, greedy, random, 16, 18, 22, 22, 22
0, Tyron, doubleDealing, Courtney, Tyron, doubleDealing, doubleDealing, 15, 19, 22, 22, 22
0, Franklin, random, Franklin, Sunny, random, random, 15, 19, 22, 22, 22
0, Sonny, heuristic, Sonny, Jewel, heuristic, greedy, 15, 19, 22, 22, 22
0, Lorretta, shortestChain, Alonso, Lorretta, shortestChain, shortestChain, 15, 18, 23, 22, 22
0, Sharmaine, heuristic, Sharmaine, Janelle, heuristic, greedy, 15, 18, 23, 22, 22
0, Marta, shortestChain, Marta, Jay, shortestChain, random, 15, 17, 24, 22, 22
0, Garland, doubleDealing, Garland, Errol, doubleDealing, random, 14, 17, 24, 23, 22
0, Andres, doubleDealing, Andres, Alice, doubleDealing, doubleDealing, 13, 17, 24, 23, 23
0, Maxine, doubleDealing, Kirby, Maxine, doubleDealing, doubleDealing, 13, 17, 24, 23, 23
0, Hunter, shortestChain, Bill, Hunter, greedy, shortestChain, 13, 17, 24, 23, 23
0, Shameka, doubleDealing, Shameka, Lino, doubleDealing, heuristic, 13, 16, 24, 24, 23
0, Lisa, doubleDealing, Lisa, Merissa, doubleDealing, heuristic, 13, 16, 23, 24, 24
0, Chanda, doubleDealing, Damion, Chanda, random, doubleDealing, 13, 16, 22, 24, 25
0, Chin, shortestChain, Jeremy, Chin, random, shortestChain, 12, 16, 22, 24, 26
0, Jerica, heuristic, Jerica, Alfreda, heuristic, heuristic, 11, 16, 22, 25, 26
0, David, shortestChain, David, Orlando, shortestChain, greedy, 11, 16, 22, 25, 26
0, Leticia, doubleDealing, Leticia, Guadalupe, doubleDealing, greedy, 11, 15, 22, 26, 26
0, Joel, shortestChain, Joel, Leila, shortestChain, heuristic, 11, 14, 22, 26, 27
0, Darlene, greedy, Tinisha, Darlene, random, greedy, 11, 14, 21, 27, 27
0, Mario, shortestChain, Antonietta, Mario, random, shortestChain, 10, 15, 21, 27, 27
0, Thurman, greedy, Thurman, Jamey, greedy, greedy, 9, 15, 21, 28, 27
0, Pat, heuristic, Artie, Pat, greedy, heuristic, 9, 15, 21, 28, 27
0, Coleman, heuristic, Coleman, Yuonne, heuristic, random, 9, 14, 22, 28, 27
0, Emerson, shortestChain, Emerson, Sean, shortestChain, random, 8, 14, 23, 28, 27
0, None, None, Emelina, Kenyatta, shortestChain, shortestChain, 7, 14, 23, 29, 27
0, Jerilyn, heuristic, Merlin, Jerilyn, heuristic, heuristic, 7, 14, 23, 29, 27
0, Chastity, doubleDealing, Susan, Chastity, greedy, doubleDealing, 7, 14, 23, 29, 27
0, Raymundo, heuristic, Bobby, Raymundo, greedy, heuristic, 7, 13, 23, 29, 28
0, Celestine, shortestChain, Celestine, Milan, shortestChain, shortestChain, 7, 12, 24, 29, 28
0, Andy, doubleDealing, Maura, Andy, greedy, doubleDealing, 7, 12, 24, 29, 28
0, Chara, random, Chara, Robby, random, random, 7, 11, 24, 29, 29
0, Desmond, heuristic, Desmond, Gerry, heuristic, shortestChain, 7, 11, 24, 29, 29
0, None, None, Porter, Dong, doubleDealing, doubleDealing, 7, 11, 25, 28, 29
0, Marybelle, greedy, Galen, Marybelle, random, greedy, 7, 11, 25, 28, 29
0, Earl, heuristic, Magan, Earl, heuristic, heuristic, 6, 12, 25, 28, 29
1, Roselia, doubleDealing, Roselia, Marybelle, doubleDealing, greedy, 6, 12, 25, 28, 29
1, Merissa, doubleDealing, Raymundo, Merissa, heuristic, doubleDealing, 6, 11, 25, 28, 30
1, None, None, Jeremy, Lisa, shortestChain, doubleDealing, 6, 11, 24, 28, 31
1, Guadalupe, doubleDealing, Guadalupe, Darlene, doubleDealing, greedy, 6, 11, 24, 28, 31
1, Laurence, shortestChain, Antonietta, Laurence, shortestChain, shortestChain, 6, 10, 24, 28, 32
1, Maura, doubleDealing, Maura, Lorretta, doubleDealing, shortestChain, 6, 10, 24, 28, 32
1, Leila, shortestChain, Leila, Thurman, shortestChain, greedy, 6, 10, 24, 27, 33
1, Celestine, shortestChain, Jerilyn, Celestine, heuristic, shortestChain, 6, 9, 24, 28, 33
1, None, None, Lynn, Ben, heuristic, heuristic, 6, 9, 23, 29, 33
1, Andres, doubleDealing, Eugene, Andres, shortestChain, doubleDealing, 6, 9, 23, 29, 33
1, Chanda, doubleDealing, Chanda, Robby, doubleDealing, random, 6, 9, 23, 28, 34
1, Sonny, heuristic, Sonny, Cherelle, heuristic, doubleDealing, 5, 9, 23, 28, 35
1, Porter, doubleDealing, Maxine, Porter, doubleDealing, doubleDealing, 5, 9, 24, 28, 34
1, Julian, heuristic, Julian, Kenyatta, heuristic, shortestChain, 5, 9, 24, 28, 34
1, Doloris, shortestChain, Doloris, Pat, shortestChain, heuristic, 5, 9, 25, 27, 34
1, Stacey, doubleDealing, Lino, Stacey, doubleDealing, doubleDealing, 5, 9, 24, 28, 34
1, Shameka, doubleDealing, Susan, Shameka, doubleDealing, doubleDealing, 5, 9, 24, 28, 34
1, Dong, doubleDealing, Earl, Dong, heuristic, doubleDealing, 5, 9, 24, 28, 34
1, Sharmaine, heuristic, Sharmaine, Tinisha, heuristic, greedy, 5, 9, 23, 28, 35
1, Gerry, heuristic, Gerry, Creola, heuristic, greedy, 5, 8, 24, 28, 35
1, Errol, doubleDealing, Magaly, Errol, shortestChain, doubleDealing, 5, 7, 25, 28, 35
1, Audria, greedy, Audria, Franklin, greedy, random, 5, 7, 25, 27, 36
1, Melissa, doubleDealing, Rudolph, Melissa, shortestChain, doubleDealing, 4, 8, 25, 27, 36
1, Haley, heuristic, Jamey, Haley, greedy, heuristic, 4, 8, 25, 26, 37
1, Damion, doubleDealing, Damion, Bill, doubleDealing, shortestChain, 4, 7, 26, 26, 37
1, Joel, shortestChain, Joel, Galen, shortestChain, greedy, 4, 7, 26, 25, 38
1, David, shortestChain, Delsie, David, heuristic, shortestChain, 4, 6, 26, 26, 38
