Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
0, Tyron, doubleDealing, Tyron, Doloris, doubleDealing, shortestChain, 20, 20, 20, 20, 20
0, Sharmaine, heuristic, Rudolph, Sharmaine, greedy, heuristic, 20, 20, 20, 19, 21
0, Chin, shortestChain, Chin, Darlene, shortestChain, greedy, 20, 19, 21, 19, 21
0, Sachiko, greedy, Sachiko, Antonietta, greedy, random, 20, 18, 21, 20, 21
0, Pat, heuristic, Shameka, Pat, doubleDealing, heuristic, 19, 19, 21, 20, 21
0, Chanda, doubleDealing, Sunny, Chanda, random, doubleDealing, 19, 19, 22, 20, 20
0, Courtney, doubleDealing, Courtney, Emelina, doubleDealing, shortestChain, 18, 19, 22, 20, 21
0, Roselia, doubleDealing, Chara, Roselia, random, doubleDealing, 18, 19, 22, 19, 22
0, Julian, heuristic, Delsie, Julian, heuristic, heuristic, 17, 19, 22, 19, 23
0, Celestine, shortestChain, Errol, Celestine, random, shortestChain, 17, 19, 22, 19, 23
0, Janelle, greedy, Janelle, Laurence, greedy, random, 16, 19, 22, 20, 23
0, Dong, doubleDealing, Dong, Alice, doubleDealing, doubleDealing, 15, 20, 22, 20, 23
0, Jerilyn, heuristic, Galen, Jerilyn, random, heuristic, 15, 20, 22, 20, 23
0, Jerica, heuristic, Jerica, Franklin, heuristic, random, 14, 20, 23, 20, 23
0, None, None, Bill, Thurman, greedy, greedy, 13, 20, 24, 20, 23
0, Garland, doubleDealing, Garland, Maura, doubleDealing, greedy, 13, 20, 24, 20, 23
0, Milan, shortestChain, Sonny, Milan, heuristic, shortestChain, 13, 19, 24, 20, 24
0, Emerson, shortestChain, Emerson, Maxine, shortestChain, doubleDealing, 13, 19, 23, 21, 24
0, Merlin, heuristic, Merlin, Coleman, heuristic, heuristic, 13, 19, 23, 22, 23
0, Madusa, doubleDealing, Marybelle, Madusa, greedy, doubleDealing, 13, 19, 23, 22, 23
0, Eugene, shortestChain, Eugene, Lasandra, shortestChain, random, 13, 18, 23, 22, 24
0, Magan, heuristic, Lino, Magan, heuristic, heuristic, 12, 18, 23, 23, 24
0, Hunter, shortestChain, Ben, Hunter, doubleDealing, shortestChain, 12, 18, 23, 23, 24
0, Leticia, doubleDealing, Leticia, Cherelle, doubleDealing, doubleDealing, 12, 18, 23, 24, 23
0, Lisa, doubleDealing, Lisa, Sean, doubleDealing, random, 12, 18, 23, 24, 23
0, Guadalupe, greedy, Guadalupe, Creola, greedy, random, 11, 18, 23, 24, 24
0, Sammy, shortestChain, Sammy, Artie, shortestChain, greedy, 10, 19, 23, 24, 24
0, Elvera, greedy, Elvera, Mitzie, greedy, random, 10, 18, 23, 25, 24
0, Orlando, greedy, Orlando, Yuonne, greedy, random, 9, 19, 23, 25, 24
0, Cupid, shortestChain, Cupid, Tinisha, shortestChain, random, 8, 20, 23, 25, 24
0, Chastity, doubleDealing, Jeremy, Chastity, random, doubleDealing, 7, 20, 23, 26, 24
0, Elva, shortestChain, Fallon, Elva, random, shortestChain, 6, 20, 23, 26, 25
0, Gerry, shortestChain, Leila, Gerry, heuristic, shortestChain, 5, 20, 23, 27, 25
0, Haley, heuristic, Jay, Haley, random, heuristic, 5, 20, 22, 28, 25
0, Lynn, heuristic, Porter, Lynn, doubleDealing, heuristic, 4, 20, 23, 28, 25
0, Earl, heuristic, Ernie, Earl, greedy, heuristic, 4, 20, 24, 28, 24
0, Merissa, heuristic, Merissa, Audria, heuristic, greedy, 4, 19, 25, 28, 24
0, Desmond, heuristic, Kermit, Desmond, greedy, heuristic, 4, 18, 26, 28, 24
0, Lorretta, shortestChain, Jamey, Lorretta, greedy, shortestChain, 4, 17, 27, 28, 24
0, Magaly, shortestChain, Jewel, Magaly, greedy, shortestChain, 4, 16, 27, 29, 24
0, Kenyatta, shortestChain, Susan, Kenyatta, greedy, shortestChain, 4, 15, 27, 30, 24
0, David, shortestChain, Alonso, David, shortestChain, shortestChain, 4, 14, 27, 31, 24
0, Marta, shortestChain, Bobby, Marta, greedy, shortestChain, 4, 14, 27, 31, 24
0, Andy, doubleDealing, Melissa, Andy, heuristic, doubleDealing, 4, 13, 27, 32, 24
0, Mario, shortestChain, Mario, Joel, shortestChain, shortestChain, 4, 13, 26, 32, 25
0, Andres, doubleDealing, Andres, Damion, doubleDealing, random, 4, 13, 26, 32, 25
0, Lashaun, greedy, Lashaun, Robby, greedy, random, 3, 13, 26, 32, 26
