Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
0, Joel, shortestChain, Laurence, Joel, random, shortestChain, 20, 20, 20, 20, 20
0, Shameka, doubleDealing, Shameka, Jewel, doubleDealing, greedy, 19, 20, 20, 21, 20
0, Pat, heuristic, Pat, Kermit, heuristic, greedy, 19, 19, 20, 21, 21
0, Cherelle, doubleDealing, Cherelle, Darlene, doubleDealing, greedy, 19, 18, 21, 21, 21
0, Merissa, heuristic, Merissa, Kirby, heuristic, doubleDealing, 19, 17, 21, 21, 22
0, None, None, Leila, Melissa, heuristic, heuristic, 19, 17, 22, 21, 21
0, None, None, Bobby, Jamey, greedy, greedy, 19, 17, 22, 21, 21
0, Bill, greedy, Bill, Damion, greedy, random, 19, 17, 22, 21, 21
0, Dong, doubleDealing, Dong, Franklin, doubleDealing, random, 18, 18, 22, 21, 21
0, Sonny, heuristic, Marybelle, Sonny, greedy, heuristic, 17, 18, 22, 21, 22
0, Eugene, shortestChain, Rudolph, Eugene, greedy, shortestChain, 17, 17, 23, 21, 22
0, Chin, shortestChain, Chin, Jay, shortestChain, random, 17, 16, 23, 22, 22
0, Kenyatta, shortestChain, Kenyatta, Sean, shortestChain, random, 16, 16, 23, 23, 22
0, Lasandra, random, Tinisha, Lasandra, random, random, 15, 16, 23, 24, 22
0, None, None, Lynn, Coleman, heuristic, heuristic, 15, 16, 23, 24, 22
0, Stacey, doubleDealing, Stacey, Ben, doubleDealing, doubleDealing, 15, 16, 23, 24, 22
0, Porter, doubleDealing, Porter, Garland, doubleDealing, doubleDealing, 15, 16, 23, 24, 22
0, None, None, Robby, Mario, random, shortestChain, 15, 16, 23, 24, 22
0, Delsie, heuristic, Delsie, Alonso, heuristic, shortestChain, 15, 16, 23, 24, 22
0, Orlando, greedy, Galen, Orlando, random, greedy, 15, 16, 24, 23, 22
0, None, None, Chastity, Milan, doubleDealing, shortestChain, 14, 17, 24, 23, 22
0, None, None, Sharmaine, Lashaun, heuristic, greedy, 14, 17, 24, 23, 22
0, Andy, doubleDealing, Andy, Haley, doubleDealing, heuristic, 14, 17, 24, 23, 22
0, None, None, Lorretta, Jerilyn, shortestChain, heuristic, 14, 17, 23, 23, 23
0, None, None, Alfreda, Alice, heuristic, doubleDealing, 14, 17, 23, 23, 23
0, Magaly, shortestChain, Carson, Magaly, random, shortestChain, 14, 17, 23, 23, 23
0, Celestine, shortestChain, Celestine, Merlin, shortestChain, heuristic, 13, 17, 23, 24, 23
0, Elva, shortestChain, Jeremy, Elva, random, shortestChain, 13, 17, 22, 25, 23
0, None, None, Yuonne, Doloris, random, shortestChain, 12, 17, 22, 26, 23
0, Lisa, doubleDealing, Creola, Lisa, random, doubleDealing, 12, 17, 22, 26, 23
0, Gerry, shortestChain, Gerry, Chara, shortestChain, random, 11, 17, 22, 26, 24
0, None, None, Ernie, Marta, greedy, shortestChain, 10, 17, 22, 27, 24
0, Magan, heuristic, Magan, Sachiko, heuristic, greedy, 10, 17, 22, 27, 24
0, None, None, Maxine, Roselia, doubleDealing, doubleDealing, 10, 16, 23, 27, 24
0, Raymundo, heuristic, Susan, Raymundo, greedy, heuristic, 10, 16, 23, 27, 24
0, Antonietta, random, Errol, Antonietta, random, random, 10, 15, 24, 27, 24
0, Maura, greedy, Maura, Janelle, greedy, greedy, 10, 15, 24, 27, 24
0, None, None, Tyron, Julian, doubleDealing, heuristic, 10, 15, 24, 27, 24
0, Chanda, doubleDealing, Chanda, Sunny, doubleDealing, random, 10, 15, 24, 27, 24
0, Emerson, shortestChain, Emerson, Fallon, shortestChain, random, 9, 15, 24, 27, 25
